,NA28-041MRK,NA28-042LUK,tlg0007.tlg121,tlg0532.tlg001,tlg0561.tlg001,tlg0614.tlg001,tlg1765.tlg003
0,"('σπείρω λόγος', 3)","('λέγω παραβολή', 7)","('φημί βούλομαι', 2)","('σάλπιγξ βέλος', 2)","('παρθένος καλός', 3)","('δʼ εἶπον', 14)","('μετʼ ὀργή', 2)"
1,"('λόγος σπείρω', 2)","('εἶπον παραβολή', 5)","('ὄνος σκιά', 2)","('ἀράχνης λανθάνω', 2)","('νέμω βοῦς', 2)","('πᾶς δʼ', 8)","('ἐκἀ ἐγὼ', 2)"
2,"('ἑξήκοντα εἷς ἑκατόν', 2)","('εἶπον κύριος', 4)","('εἶπον θέρος', 1)","('ἔχω ἐλέφας', 2)","('πάν βία', 2)","('δʼ εἶδον', 6)","('εἶπον ποτε ἐδίεκω', 1)"
3,"('ὅταν ἀκούω', 2)","('λέγω πᾶς', 4)","('εἶπον θέρος ὥρα', 1)","('ἄνοια προὐκαλούμην', 1)","('ὀρθός πρῶτος ἀπεπειράομαι κάλαμος', 1)","('δʼ ἕκαστος', 5)","('εἶπον ποτε ἐδίεκω λόγος', 1)"
4,"('λόγος εὐθύς', 2)","('βασιλεία θεός', 4)","('εἶπον θέρος ὥρα μισθόω', 1)","('θύρα ἔργον λανθάνω', 1)","('γοερός ἐρῶν', 1)","('λέων δʼ', 5)","('κἀκεῖνος τοίνυν', 1)"
5,"('ἀκούω ἀκούω', 2)","('λέγω κύριος', 4)","('ἔπισεχμι δέω πέρας ἐπιτίθημι', 1)","('θύρα ἔργον λανθάνω σάτυρος', 1)","('γοερός ἐρῶν ἐρωτικός', 1)","('ἐκεῖνος εἶπον', 5)","('ὀδός πλανόη', 1)"
6,"('ἀκούω λόγος', 2)","('ποιέω καρπός', 4)","('ἔπισεχμι δέω πέρας', 1)","('ἄνοια προὐκαλούμην λέων ὀλίγος', 1)","('γοερός ἐρῶν ἐρωτικός πείθω', 1)","('δʼ ἐπʼ', 5)","('εὑρίσκω φημί', 1)"
7,"('εἷς ἑκατόν', 2)","('λέγω ποιέω', 4)","('ἔπισεχμι δέω', 1)","('ἄνοια προὐκαλούμην λέων', 1)","('ὀρχέομαι δρύη', 1)","('ἔρχομαι δʼ', 5)","('εὑρίσκω φημί πάλιν', 1)"
8,"('εἷς τριάκοντα', 2)","('παραβολή λέγω', 3)","('σπουδαῖος πρᾶγμα βούλομαι', 1)","('ἄπειροκαλια ἀράχνης', 1)","('σιωπή κατέκειντο', 1)","('δʼ μῦθος', 4)","('εὑρίσκω φημί πάλιν κλαίω', 1)"
9,"('εἷς τριάκοντα εἷς', 2)","('κάρφος ὀφθαλμός', 3)","('ποτε κωλύω', 1)","('κάλλος κοσμέω στέρνον πλατύς', 1)","('σιωπή κατέκειντο τέρπω', 1)","('μῦθος ἔχω', 4)","('κἀκεῖνος τοίνυν περιπεπτώκαμεν πάθος', 1)"
