,NA28-041MRK,NA28-042LUK,tlg0007.tlg121,tlg0532.tlg001,tlg0561.tlg001,tlg0614.tlg001,tlg1765.tlg003
0,"('det noun', 51, 0.03231939163498099)","('det noun', 313, 0.0295561850802644)","('noun verb', 7, 0.028112449799196786)","('det noun', 62, 0.029779058597502402)","('det noun', 118, 0.0353081986834231)","('noun verb', 754, 0.024192254628292744)","('det noun', 49, 0.02722222222222222)"
1,"('cconj verb', 28, 0.017743979721166033)","('verb pron', 158, 0.014919735599622286)","('det noun', 7, 0.028112449799196786)","('noun verb', 48, 0.023054755043227664)","('noun verb', 77, 0.023040095751047276)","('det noun', 495, 0.015882183078255847)","('noun verb', 40, 0.022222222222222223)"
2,"('adv verb', 27, 0.017110266159695818)","('adv verb', 146, 0.013786591123701605)","('verb det', 7, 0.028112449799196786)","('verb adv', 46, 0.022094140249759846)","('verb det', 60, 0.017953321364452424)","('verb adv', 480, 0.015400904803157185)","('verb verb', 33, 0.018333333333333333)"
3,"('verb pron', 27, 0.017110266159695818)","('pron verb', 139, 0.013125590179414542)","('verb verb', 6, 0.024096385542168676)","('adv verb', 34, 0.01633045148895293)","('verb det noun', 46, 0.01376421304608019)","('adv verb', 447, 0.014342092597940129)","('verb det', 30, 0.016666666666666666)"
4,"('adp det', 23, 0.014575411913814956)","('noun verb', 126, 0.01189801699716714)","('adv verb', 6, 0.024096385542168676)","('adv adv', 25, 0.012007684918347743)","('verb verb', 41, 0.012268102932375824)","('verb verb', 434, 0.01392498475952129)","('adv verb', 27, 0.015)"
5,"('verb det', 20, 0.012674271229404309)","('verb det', 119, 0.011237016052880076)","('verb noun', 5, 0.020080321285140562)","('adv noun', 24, 0.011527377521613832)","('noun det', 37, 0.011071214841412328)","('verb noun', 387, 0.01241697949754548)","('verb adv', 24, 0.013333333333333334)"
6,"('noun verb', 20, 0.012674271229404309)","('adp det', 115, 0.010859301227573183)","('verb det noun', 4, 0.01606425702811245)","('det noun verb', 24, 0.011527377521613832)","('noun adj', 37, 0.011071214841412328)","('noun noun', 376, 0.012064042095806462)","('adv adv', 24, 0.013333333333333334)"
7,"('verb det noun', 17, 0.010773130544993664)","('verb verb', 114, 0.01076487252124646)","('noun adv', 4, 0.01606425702811245)","('verb det', 22, 0.010566762728146013)","('noun noun', 36, 0.010771992818671455)","('adj verb', 370, 0.011871530785766997)","('verb det noun', 19, 0.010555555555555556)"
8,"('noun cconj', 17, 0.010773130544993664)","('verb adv', 111, 0.010481586402266289)","('det noun verb', 3, 0.012048192771084338)","('noun det', 21, 0.010086455331412104)","('adv verb', 36, 0.010771992818671455)","('noun adj', 330, 0.010588122052170565)","('det noun verb', 18, 0.01)"
9,"('verb cconj', 17, 0.010773130544993664)","('noun pron', 100, 0.009442870632672332)","('noun noun', 3, 0.012048192771084338)","('noun adv', 20, 0.009606147934678195)","('noun cconj', 34, 0.010173548773189706)","('verb det', 311, 0.00997850290371226)","('verb noun', 17, 0.009444444444444445)"
